INFO:tensorflow:loss = 4.2286663, step = 34800 (31.599 sec)
INFO:tensorflow:loss = 3.2440643, step = 34900 (31.754 sec)
INFO:tensorflow:loss = 3.5708144, step = 35000 (86.493 sec)
INFO:tensorflow:loss = 4.486381, step = 35100 (31.451 sec)
INFO:tensorflow:loss = 4.450047, step = 35200 (31.553 sec)
INFO:tensorflow:loss = 4.4859734, step = 35300 (31.533 sec)
INFO:tensorflow:loss = 3.5345607, step = 35400 (31.596 sec)
INFO:tensorflow:loss = 3.640463, step = 35500 (31.711 sec)
INFO:tensorflow:loss = 4.6104746, step = 35600 (31.545 sec)
INFO:tensorflow:loss = 4.1938124, step = 35700 (31.633 sec)
INFO:tensorflow:loss = 3.636523, step = 35800 (31.551 sec)
INFO:tensorflow:loss = 3.7163324, step = 35900 (31.564 sec)
INFO:tensorflow:loss = 4.1722918, step = 36000 (35.926 sec)
INFO:tensorflow:loss = 4.297175, step = 36100 (31.681 sec)
INFO:tensorflow:loss = 4.0607786, step = 36200 (31.828 sec)
INFO:tensorflow:loss = 3.6538782, step = 36300 (31.556 sec)
INFO:tensorflow:loss = 4.4323354, step = 36400 (31.780 sec)
INFO:tensorflow:loss = 3.9433079, step = 36500 (31.565 sec)
INFO:tensorflow:loss = 5.1107187, step = 36600 (31.576 sec)
INFO:tensorflow:loss = 4.0671983, step = 36700 (31.747 sec)
INFO:tensorflow:loss = 3.8100424, step = 36800 (31.759 sec)
INFO:tensorflow:loss = 3.6665797, step = 36900 (31.488 sec)
INFO:tensorflow:loss = 4.1843085, step = 37000 (86.971 sec)
INFO:tensorflow:loss = 4.548569, step = 37100 (31.446 sec)
INFO:tensorflow:loss = 3.3745987, step = 37200 (31.405 sec)
INFO:tensorflow:loss = 4.278016, step = 37300 (31.589 sec)
INFO:tensorflow:loss = 3.735465, step = 37400 (31.472 sec)
INFO:tensorflow:loss = 4.359066, step = 37500 (31.605 sec)
INFO:tensorflow:loss = 4.3034234, step = 37600 (31.581 sec)
INFO:tensorflow:loss = 3.963297, step = 37700 (31.619 sec)
INFO:tensorflow:loss = 3.9234903, step = 37800 (31.475 sec)
INFO:tensorflow:loss = 4.2879305, step = 37900 (31.585 sec)
INFO:tensorflow:loss = 3.3947337, step = 38000 (35.795 sec)
INFO:tensorflow:loss = 3.6767378, step = 38100 (31.387 sec)
INFO:tensorflow:loss = 3.525238, step = 38200 (31.798 sec)
INFO:tensorflow:loss = 3.753476, step = 38300 (31.613 sec)
INFO:tensorflow:loss = 4.0713134, step = 38400 (31.682 sec)
INFO:tensorflow:loss = 4.0622163, step = 38500 (31.534 sec)
INFO:tensorflow:loss = 4.5500665, step = 38600 (31.714 sec)
INFO:tensorflow:loss = 3.9329422, step = 38700 (31.733 sec)
INFO:tensorflow:loss = 3.8081152, step = 38800 (31.572 sec)
INFO:tensorflow:loss = 3.767455, step = 38900 (31.662 sec)
INFO:tensorflow:loss = 3.8480122, step = 39000 (87.211 sec)
INFO:tensorflow:loss = 4.1622286, step = 39100 (33.542 sec)
INFO:tensorflow:loss = 3.9120417, step = 39200 (33.608 sec)
INFO:tensorflow:loss = 3.7745142, step = 39300 (33.479 sec)
INFO:tensorflow:loss = 4.3937883, step = 39400 (33.674 sec)
INFO:tensorflow:loss = 3.6456766, step = 39500 (33.570 sec)
INFO:tensorflow:loss = 4.8426332, step = 39600 (33.557 sec)
INFO:tensorflow:loss = 3.4993072, step = 39700 (33.547 sec)
INFO:tensorflow:loss = 3.6869352, step = 39800 (33.578 sec)
INFO:tensorflow:loss = 3.5115557, step = 39900 (33.537 sec)
INFO:tensorflow:loss = 3.8179212, step = 40000 (37.735 sec)
INFO:tensorflow:loss = 4.4193087, step = 40100 (33.552 sec)
INFO:tensorflow:loss = 4.307823, step = 40200 (33.717 sec)
INFO:tensorflow:loss = 4.063932, step = 40300 (33.556 sec)
INFO:tensorflow:loss = 4.0293713, step = 40400 (33.605 sec)
